Mapping Category,Mapping Value,Grouping Code,Grouping Code Description,Mapping Key
NO-SAFT: Income Statement RF-1175,1,1000,Forskning og utvikling,
NO-SAFT: Income Statement RF-1175,2,1020,"Immaterielle eiendeler, konsesjoner/melkekvote o.l.",
NO-SAFT: Income Statement RF-1175,3,1080,Goodwill,
NO-SAFT: Income Statement RF-1175,4,1105,Forretningsbygg (saldogruppe i),
NO-SAFT: Income Statement RF-1175,5,1115,"Bygg og anlegg, hotell o.l. (saldogruppe h)",
NO-SAFT: Income Statement RF-1175,6,1117,Elektroteknisk utrustning i kraftforetak mv. (saldogr. g),
NO-SAFT: Income Statement RF-1175,7,1120,Fast teknisk installasjon i bygninger (saldogruppe j),
NO-SAFT: Income Statement RF-1175,8,1130,"Bygg, anlegg, maskiner under bygging - til eget bruk",
NO-SAFT: Income Statement RF-1175,9,1131,"Bygg, anlegg, maskiner under bygging - for salg",
NO-SAFT: Income Statement RF-1175,10,1140,Jord- og skogverdier,
NO-SAFT: Income Statement RF-1175,11,1150,Tomter og andre grunnarealer,
NO-SAFT: Income Statement RF-1175,12,1160,"Boliger inkl. tomter, hytter mv.",
NO-SAFT: Income Statement RF-1175,13,1205,"Maskiner, personbiler, inventar (saldogruppe d)",
NO-SAFT: Income Statement RF-1175,14,1221,"Skip, rigger mv. (saldogruppe e)",
NO-SAFT: Income Statement RF-1175,15,1225,"Fly, helikopter mv. (saldogruppe f)",
NO-SAFT: Income Statement RF-1175,16,1238,"Vare-, lastebiler, busser m.v. (saldogruppe c)",
NO-SAFT: Income Statement RF-1175,17,1239,Varebiler med nullutslipp (saldogruppe c),
NO-SAFT: Income Statement RF-1175,18,1280,Kontormaskiner,
NO-SAFT: Income Statement RF-1175,19,1290,Andre driftsmidler,
NO-SAFT: Income Statement RF-1175,20,1295,Avskrivbare eiendeler utenom saldosystemet (kostnadsford.),
NO-SAFT: Income Statement RF-1175,21,1296,Negativ gevinst- og tapskonto,
NO-SAFT: Income Statement RF-1175,22,1298,Negativ tømmerkonto,
NO-SAFT: Income Statement RF-1175,23,1495,Varelager,
NO-SAFT: Income Statement RF-1175,24,1500,Kundefordringer,
NO-SAFT: Income Statement RF-1175,25,1530,"Opptjente, ikke fakturerte kundefordringer",
NO-SAFT: Income Statement RF-1175,26,1577,Fordringer på ansatte,
NO-SAFT: Income Statement RF-1175,27,1578,"Fordringer på eiere, styremedlemmer o.l.",
NO-SAFT: Income Statement RF-1175,28,1595,Langsiktige fordringer i utenlandsk valuta,
NO-SAFT: Income Statement RF-1175,29,1599,Andre fordringer,
NO-SAFT: Income Statement RF-1175,30,1780,Krav på innbetaling av selskapskapital,
NO-SAFT: Income Statement RF-1175,31,1829,Aksjer og verdipapir- fondsandeler,
