Mapping Category,Mapping Value,Grouping Code,Grouping Code Description,Mapping Key
NO-SAFT: Income Statement RF-1167,1,1000,Forskning og utvikling,
NO-SAFT: Income Statement RF-1167,2,1020,"Konsesjoner, patenter, lisenser, varemerker o.l. rettigheter",
NO-SAFT: Income Statement RF-1167,3,1070,Utsatt skattefordel,
NO-SAFT: Income Statement RF-1167,4,1080,Goodwill (saldogruppe b),
NO-SAFT: Income Statement RF-1167,5,1105,Forretningsbygg (saldogruppe i),
NO-SAFT: Income Statement RF-1167,6,1115,"Bygg og anlegg, hotell o.l. (saldogruppe h)",
NO-SAFT: Income Statement RF-1167,7,1117,Elektroteknisk utrustning i kraftforetak mv. (saldogr. g),
NO-SAFT: Income Statement RF-1167,8,1120,Fast teknisk installasjon i bygninger (saldogruppe j),
NO-SAFT: Income Statement RF-1167,9,1130,"Anlegg, maskiner under utførelse",
NO-SAFT: Income Statement RF-1167,10,1150,Tomter og andre grunnarealer,
NO-SAFT: Income Statement RF-1167,11,1160,"Bolig inkl. boligtomter, hytter mv.",
NO-SAFT: Income Statement RF-1167,12,1180,Investeringseiendommer,
NO-SAFT: Income Statement RF-1167,13,1205,"Personbiler, maskiner, inventar mv. (saldogruppe d)",
NO-SAFT: Income Statement RF-1167,14,1221,"Skip, rigger mv. (saldogruppe e)",
NO-SAFT: Income Statement RF-1167,15,1225,"Fly, helikopter mv. (saldogruppe f)",
NO-SAFT: Income Statement RF-1167,16,1238,"Vare- og lastebiler, busser mv. (saldogruppe c)",
NO-SAFT: Income Statement RF-1167,17,1239,Varebiler med nullutslipp (saldogruppe c),
NO-SAFT: Income Statement RF-1167,18,1280,Kontormaskiner o.l. (saldogruppe a),
NO-SAFT: Income Statement RF-1167,19,1290,Andre driftsmidler,
NO-SAFT: Income Statement RF-1167,20,1312,Investeringer i datter- og konsernselskap med deltakerfastsetting,
NO-SAFT: Income Statement RF-1167,21,1313,Investeringer i andre datter- og konsernselskap,
NO-SAFT: Income Statement RF-1167,22,1320,Lån til foretak i samme konsern,
NO-SAFT: Income Statement RF-1167,23,1331,Investeringer i tilknyttede selskap med deltakerfastsetting,
NO-SAFT: Income Statement RF-1167,24,1332,Investeringer i andre tilknyttede selskap,
NO-SAFT: Income Statement RF-1167,25,1340,Lån til tilknyttet selskap og felles kontrollert virksomhet,
NO-SAFT: Income Statement RF-1167,26,1350,"Investeringer i aksjer, andeler og verdipapirfondsandeler",
NO-SAFT: Income Statement RF-1167,27,1360,Obligasjoner,
NO-SAFT: Income Statement RF-1167,28,1370,"Fordringer på personlige eiere, styremedl. o.l.",
NO-SAFT: Income Statement RF-1167,29,1380,Fordringer på ansatte,
NO-SAFT: Income Statement RF-1167,30,1390,Andre fordringer,
NO-SAFT: Income Statement RF-1167,31,1395,Netto pensjonsmidler,
NO-SAFT: Income Statement RF-1167,32,1400,Varelager,
NO-SAFT: Income Statement RF-1167,33,1490,Biologiske eiendeler,
NO-SAFT: Income Statement RF-1167,34,1500,Kundefordringer eksklusive på selskap i samme konsern,
NO-SAFT: Income Statement RF-1167,35,1501,Kundefordringer på selskap i samme konsern,
NO-SAFT: Income Statement RF-1167,36,1530,"Opptjent, ikke fakturert driftsinntekt",
NO-SAFT: Income Statement RF-1167,37,1560,Andre fordringer på selskap i samme konsern,
NO-SAFT: Income Statement RF-1167,38,1565,Kortsiktige fordringer mot personlig eier/styremedl. o.l.,
NO-SAFT: Income Statement RF-1167,39,1570,Andre kortsiktige fordringer,
NO-SAFT: Income Statement RF-1167,40,1780,Krav på innbetaling av selskapskapital,
NO-SAFT: Income Statement RF-1167,41,1800,Ikke-markedsbaserte aksjer og andeler,
NO-SAFT: Income Statement RF-1167,42,1810,Markedsbaserte aksjer og verdipapirfondsandeler,
NO-SAFT: Income Statement RF-1167,43,1830,"Markedsbaserte obligasjoner, sertifikater mv.",
NO-SAFT: Income Statement RF-1167,44,1840,Andre obligasjoner og sertifikater,
NO-SAFT: Income Statement RF-1167,45,1880,Andre finansielle instrumenter,
NO-SAFT: Income Statement RF-1167,46,1900,Kontanter,
NO-SAFT: Income Statement RF-1167,47,1920,Bankinnskudd,
NO-SAFT: Income Statement RF-1167,48,2000,Aksjekap./EK andre foretak,
NO-SAFT: Income Statement RF-1167,49,2010,Egne aksjer (negativt beløp),
NO-SAFT: Income Statement RF-1167,50,2020,Overkurs,
NO-SAFT: Income Statement RF-1167,51,2030,Annen innskutt egenkapital,
NO-SAFT: Income Statement RF-1167,52,2043,Fond for vurderingsforskjeller,
NO-SAFT: Income Statement RF-1167,53,2045,Fond for urealiserte gevinster,
NO-SAFT: Income Statement RF-1167,54,2055,Avsatt utbytte (jf. IFRS),
NO-SAFT: Income Statement RF-1167,55,2059,Annen egenkapital,
NO-SAFT: Income Statement RF-1167,56,2080,Udekket tap,
NO-SAFT: Income Statement RF-1167,57,2100,Pensjonsforpliktelser,
NO-SAFT: Income Statement RF-1167,58,2120,Utsatt skatt,
NO-SAFT: Income Statement RF-1167,59,2130,Derivater,
NO-SAFT: Income Statement RF-1167,60,2160,Uopptjent inntekt,
NO-SAFT: Income Statement RF-1167,61,2180,Avsetninger for forpliktelser,
NO-SAFT: Income Statement RF-1167,62,2200,Konvertible lån,
NO-SAFT: Income Statement RF-1167,63,2210,Obligasjonslån,
NO-SAFT: Income Statement RF-1167,64,2220,Gjeld til kredittinstitusjoner,
NO-SAFT: Income Statement RF-1167,65,2250,Gjeld til ansatte og personlige eiere,
NO-SAFT: Income Statement RF-1167,66,2260,Gjeld til selskap i samme konsern,
NO-SAFT: Income Statement RF-1167,67,2280,Stille interessentinnskudd og ansvarlig lånekapital,
NO-SAFT: Income Statement RF-1167,68,2290,Annen langsiktig gjeld,
NO-SAFT: Income Statement RF-1167,69,2310,Konvertible lån,
NO-SAFT: Income Statement RF-1167,70,2320,Obligasjonslån,
NO-SAFT: Income Statement RF-1167,71,2330,Derivater,
NO-SAFT: Income Statement RF-1167,72,2380,Gjeld til kredittinstitusjoner,
NO-SAFT: Income Statement RF-1167,73,2400,Leverandørgjeld,
NO-SAFT: Income Statement RF-1167,74,2460,Leverandørgjeld til selskap i samme konsern,
NO-SAFT: Income Statement RF-1167,75,2500,"Betalbar skatt, ikke fastsatt",
NO-SAFT: Income Statement RF-1167,76,2510,"Betalbar skatt, fastsatt",
NO-SAFT: Income Statement RF-1167,77,2600,Skattetrekk og andre trekk,
NO-SAFT: Income Statement RF-1167,78,2740,Skyldig merverdiavgift,
NO-SAFT: Income Statement RF-1167,79,2770,Skyldig arbeidsgiveravgift,
NO-SAFT: Income Statement RF-1167,80,2790,Andre offentlige avgifter,
NO-SAFT: Income Statement RF-1167,81,2800,Avsatt utbytte,
NO-SAFT: Income Statement RF-1167,82,2900,Forskudd fra kunder,
